,Sentiment_Flag
21429,Negative
21432,Neutral_or_Positive
21436,Neutral_or_Positive
21443,Neutral_or_Positive
21446,Neutral_or_Positive
21447,Neutral_or_Positive
21455,Neutral_or_Positive
21460,Negative
21470,Negative
21477,Neutral_or_Positive
21517,Neutral_or_Positive
21524,Neutral_or_Positive
21525,Neutral_or_Positive
21533,Neutral_or_Positive
21534,Negative
21536,Neutral_or_Positive
21549,Negative
21550,Neutral_or_Positive
21552,Negative
21560,Negative
21576,Neutral_or_Positive
21587,Negative
21592,Negative
21601,Neutral_or_Positive
21614,Negative
21619,Neutral_or_Positive
21626,Neutral_or_Positive
21649,Neutral_or_Positive
21650,Negative
21654,Negative
21669,Negative
21672,Negative
21674,Neutral_or_Positive
21677,Neutral_or_Positive
21689,Neutral_or_Positive
21695,Neutral_or_Positive
21697,Neutral_or_Positive
21727,Negative
21729,Neutral_or_Positive
21746,Neutral_or_Positive
21748,Neutral_or_Positive
21753,Negative
21778,Neutral_or_Positive
21781,Negative
21817,Neutral_or_Positive
21819,Neutral_or_Positive
21825,Neutral_or_Positive
21831,Negative
21845,Neutral_or_Positive
21848,Neutral_or_Positive
21875,Negative
21876,Negative
21879,Neutral_or_Positive
21892,Neutral_or_Positive
21896,Neutral_or_Positive
21910,Negative
21917,Negative
21919,Neutral_or_Positive
21926,Negative
21929,Neutral_or_Positive
21932,Neutral_or_Positive
21933,Neutral_or_Positive
21940,Neutral_or_Positive
21968,Negative
21974,Negative
21985,Neutral_or_Positive
22004,Negative
22007,Negative
22014,Neutral_or_Positive
22017,Negative
22018,Negative
22027,Negative
22033,Neutral_or_Positive
22047,Negative
22053,Neutral_or_Positive
22058,Neutral_or_Positive
22068,Neutral_or_Positive
22078,Negative
22109,Negative
22150,Neutral_or_Positive
22171,Neutral_or_Positive
22176,Neutral_or_Positive
22179,Neutral_or_Positive
22198,Negative
22215,Negative
22217,Negative
22228,Negative
22229,Neutral_or_Positive
22237,Neutral_or_Positive
22242,Neutral_or_Positive
22259,Neutral_or_Positive
22260,Negative
22294,Negative
22304,Negative
22316,Negative
22320,Negative
22328,Negative
22330,Negative
22333,Neutral_or_Positive
22335,Negative
22349,Neutral_or_Positive
22355,Neutral_or_Positive
22366,Neutral_or_Positive
22367,Neutral_or_Positive
22372,Negative
22374,Neutral_or_Positive
22394,Negative
22407,Neutral_or_Positive
22417,Neutral_or_Positive
22438,Neutral_or_Positive
22441,Negative
22453,Negative
22455,Negative
22456,Neutral_or_Positive
22467,Neutral_or_Positive
22472,Negative
22474,Negative
22476,Negative
22490,Neutral_or_Positive
22491,Negative
22494,Neutral_or_Positive
22501,Negative
22515,Negative
22525,Neutral_or_Positive
22552,Neutral_or_Positive
22554,Neutral_or_Positive
22565,Neutral_or_Positive
22573,Negative
22575,Negative
22576,Negative
22583,Neutral_or_Positive
22586,Neutral_or_Positive
22595,Neutral_or_Positive
22602,Negative
22604,Negative
22612,Negative
22616,Neutral_or_Positive
22621,Neutral_or_Positive
22624,Negative
22639,Neutral_or_Positive
22650,Neutral_or_Positive
22652,Neutral_or_Positive
22660,Neutral_or_Positive
22661,Negative
22679,Neutral_or_Positive
22681,Neutral_or_Positive
22697,Neutral_or_Positive
22698,Neutral_or_Positive
22701,Neutral_or_Positive
22704,Negative
22711,Neutral_or_Positive
22738,Negative
22742,Negative
22752,Negative
22769,Neutral_or_Positive
22771,Neutral_or_Positive
22776,Neutral_or_Positive
22785,Negative
22792,Neutral_or_Positive
22795,Negative
22798,Neutral_or_Positive
22802,Negative
22808,Neutral_or_Positive
22811,Negative
22812,Neutral_or_Positive
22822,Negative
22837,Neutral_or_Positive
22840,Negative
22841,Neutral_or_Positive
22844,Neutral_or_Positive
22848,Negative
22849,Negative
22851,Neutral_or_Positive
22859,Neutral_or_Positive
22864,Negative
22879,Negative
22883,Negative
22888,Neutral_or_Positive
22890,Negative
22897,Neutral_or_Positive
22917,Negative
22941,Negative
22958,Negative
22965,Negative
22982,Neutral_or_Positive
22991,Negative
23003,Neutral_or_Positive
23013,Neutral_or_Positive
23022,Neutral_or_Positive
23028,Neutral_or_Positive
23032,Negative
23033,Neutral_or_Positive
23045,Negative
23049,Negative
23052,Negative
23059,Neutral_or_Positive
23065,Negative
23078,Neutral_or_Positive
23086,Neutral_or_Positive
23091,Neutral_or_Positive
23097,Neutral_or_Positive
23120,Negative
23126,Negative
23149,Neutral_or_Positive
23153,Neutral_or_Positive
23163,Neutral_or_Positive
23170,Neutral_or_Positive
23177,Negative
23205,Negative
23225,Negative
23236,Negative
23237,Negative
23246,Negative
23252,Neutral_or_Positive
23263,Neutral_or_Positive
23281,Neutral_or_Positive
23282,Neutral_or_Positive
23286,Neutral_or_Positive
23300,Negative
23330,Neutral_or_Positive
23336,Negative
23337,Neutral_or_Positive
23338,Neutral_or_Positive
23343,Neutral_or_Positive
23345,Neutral_or_Positive
23358,Neutral_or_Positive
23363,Negative
23365,Negative
23372,Negative
23384,Neutral_or_Positive
23411,Negative
23412,Neutral_or_Positive
23416,Neutral_or_Positive
23418,Negative
23420,Neutral_or_Positive
23428,Neutral_or_Positive
23431,Neutral_or_Positive
23435,Negative
23442,Negative
23458,Neutral_or_Positive
23466,Neutral_or_Positive
23467,Negative
23477,Neutral_or_Positive
23485,Neutral_or_Positive
23492,Neutral_or_Positive
23495,Negative
23504,Neutral_or_Positive
23517,Neutral_or_Positive
23537,Negative
23539,Negative
23545,Neutral_or_Positive
23546,Negative
23548,Negative
23560,Negative
23569,Neutral_or_Positive
23599,Neutral_or_Positive
23619,Negative
23622,Negative
23633,Neutral_or_Positive
23638,Negative
23649,Neutral_or_Positive
23660,Negative
23667,Negative
23675,Negative
23688,Neutral_or_Positive
23696,Neutral_or_Positive
23700,Negative
23710,Negative
23712,Negative
23716,Negative
23718,Negative
23723,Neutral_or_Positive
23752,Negative
23762,Negative
23764,Negative
23769,Neutral_or_Positive
23774,Neutral_or_Positive
23780,Neutral_or_Positive
23783,Neutral_or_Positive
23797,Neutral_or_Positive
23801,Neutral_or_Positive
23806,Negative
23820,Neutral_or_Positive
23823,Negative
23835,Negative
23839,Neutral_or_Positive
23849,Negative
23858,Negative
23861,Neutral_or_Positive
23867,Neutral_or_Positive
23869,Neutral_or_Positive
23871,Negative
23883,Neutral_or_Positive
23893,Negative
23900,Negative
23917,Neutral_or_Positive
23924,Neutral_or_Positive
23934,Negative
23950,Negative
23961,Neutral_or_Positive
23966,Negative
23970,Neutral_or_Positive
23984,Neutral_or_Positive
23992,Neutral_or_Positive
23995,Neutral_or_Positive
24001,Negative
24003,Negative
24015,Negative
24017,Negative
24020,Neutral_or_Positive
24023,Neutral_or_Positive
24033,Neutral_or_Positive
24051,Neutral_or_Positive
24052,Neutral_or_Positive
24062,Neutral_or_Positive
24085,Neutral_or_Positive
24090,Neutral_or_Positive
24091,Negative
24101,Negative
24126,Negative
24136,Neutral_or_Positive
24141,Negative
24191,Negative
24194,Negative
24216,Neutral_or_Positive
24218,Negative
24223,Neutral_or_Positive
24237,Negative
24243,Negative
24246,Negative
24266,Negative
24269,Neutral_or_Positive
24270,Neutral_or_Positive
24274,Negative
24277,Negative
24291,Negative
24292,Neutral_or_Positive
24294,Neutral_or_Positive
24295,Negative
24298,Negative
24303,Neutral_or_Positive
24309,Negative
24312,Neutral_or_Positive
24317,Neutral_or_Positive
24334,Neutral_or_Positive
24343,Neutral_or_Positive
24344,Neutral_or_Positive
24345,Negative
24348,Negative
24349,Neutral_or_Positive
24358,Neutral_or_Positive
24365,Negative
24368,Neutral_or_Positive
24379,Neutral_or_Positive
24385,Neutral_or_Positive
24391,Neutral_or_Positive
24396,Negative
24410,Neutral_or_Positive
24422,Neutral_or_Positive
24424,Negative
24437,Neutral_or_Positive
24441,Neutral_or_Positive
24450,Negative
24452,Negative
24454,Negative
24461,Negative
24463,Negative
24468,Negative
24469,Negative
24470,Negative
24471,Neutral_or_Positive
24473,Negative
24475,Neutral_or_Positive
24498,Neutral_or_Positive
24507,Neutral_or_Positive
24510,Neutral_or_Positive
24514,Negative
24526,Neutral_or_Positive
24530,Neutral_or_Positive
24556,Negative
24577,Negative
24582,Negative
24584,Neutral_or_Positive
24588,Neutral_or_Positive
24589,Neutral_or_Positive
24598,Negative
24600,Neutral_or_Positive
24638,Negative
24649,Neutral_or_Positive
24669,Neutral_or_Positive
24680,Negative
24686,Neutral_or_Positive
24697,Negative
24699,Negative
24706,Negative
24714,Neutral_or_Positive
24720,Neutral_or_Positive
24725,Negative
24731,Negative
24743,Neutral_or_Positive
24744,Negative
24747,Negative
24749,Neutral_or_Positive
24773,Neutral_or_Positive
24784,Negative
24798,Neutral_or_Positive
24804,Negative
24829,Neutral_or_Positive
24835,Neutral_or_Positive
24856,Negative
24861,Neutral_or_Positive
24867,Neutral_or_Positive
24875,Neutral_or_Positive
24876,Negative
24878,Neutral_or_Positive
24880,Neutral_or_Positive
24885,Negative
24889,Neutral_or_Positive
24899,Negative
24900,Neutral_or_Positive
24921,Negative
24935,Negative
24940,Negative
24959,Neutral_or_Positive
24962,Negative
24982,Negative
24983,Neutral_or_Positive
24987,Negative
24994,Neutral_or_Positive
24996,Negative
25001,Neutral_or_Positive
25028,Negative
25032,Neutral_or_Positive
25040,Negative
25050,Neutral_or_Positive
25053,Negative
25062,Negative
25087,Negative
25135,Neutral_or_Positive
25140,Neutral_or_Positive
25142,Negative
25156,Neutral_or_Positive
25160,Negative
25165,Neutral_or_Positive
25170,Neutral_or_Positive
25173,Negative
25179,Negative
25185,Neutral_or_Positive
25188,Neutral_or_Positive
25198,Negative
25203,Neutral_or_Positive
25216,Negative
25235,Negative
25242,Neutral_or_Positive
25249,Neutral_or_Positive
25254,Negative
25269,Neutral_or_Positive
25274,Negative
25277,Neutral_or_Positive
25289,Neutral_or_Positive
25305,Negative
25318,Neutral_or_Positive
25319,Neutral_or_Positive
25346,Neutral_or_Positive
25350,Neutral_or_Positive
25353,Negative
25369,Neutral_or_Positive
25374,Negative
25375,Negative
25384,Negative
25393,Neutral_or_Positive
25403,Neutral_or_Positive
25426,Negative
25462,Negative
25471,Negative
25475,Negative
25478,Negative
25487,Negative
25492,Neutral_or_Positive
25496,Negative
25509,Neutral_or_Positive
25520,Neutral_or_Positive
25532,Negative
25539,Neutral_or_Positive
25542,Negative
25546,Neutral_or_Positive
25557,Neutral_or_Positive
25578,Neutral_or_Positive
25586,Neutral_or_Positive
25587,Negative
25594,Neutral_or_Positive
25598,Negative
25599,Negative
25607,Neutral_or_Positive
25625,Neutral_or_Positive
25635,Negative
25663,Neutral_or_Positive
25682,Negative
25722,Negative
25741,Negative
25746,Negative
25756,Neutral_or_Positive
25764,Negative
25765,Neutral_or_Positive
25780,Neutral_or_Positive
25801,Negative
25810,Negative
25812,Neutral_or_Positive
25865,Negative
25869,Negative
25874,Negative
25875,Neutral_or_Positive
25878,Neutral_or_Positive
25882,Neutral_or_Positive
25883,Negative
25889,Neutral_or_Positive
25895,Negative
25898,Negative
25899,Neutral_or_Positive
25911,Neutral_or_Positive
25918,Neutral_or_Positive
25920,Neutral_or_Positive
25924,Negative
25927,Neutral_or_Positive
25928,Neutral_or_Positive
25929,Neutral_or_Positive
25932,Neutral_or_Positive
25943,Neutral_or_Positive
25972,Negative
25973,Negative
25985,Neutral_or_Positive
25995,Negative
26002,Negative
26003,Negative
26013,Neutral_or_Positive
26016,Negative
26034,Negative
26081,Neutral_or_Positive
26082,Neutral_or_Positive
26083,Neutral_or_Positive
26090,Negative
26098,Negative
26103,Neutral_or_Positive
26108,Negative
26110,Neutral_or_Positive
26122,Negative
26137,Neutral_or_Positive
26140,Negative
26151,Neutral_or_Positive
26160,Negative
26162,Negative
26170,Neutral_or_Positive
26188,Neutral_or_Positive
26193,Neutral_or_Positive
26206,Neutral_or_Positive
26247,Neutral_or_Positive
26253,Neutral_or_Positive
26255,Neutral_or_Positive
26271,Negative
26278,Neutral_or_Positive
26279,Negative
26292,Neutral_or_Positive
26303,Neutral_or_Positive
26308,Neutral_or_Positive
26321,Neutral_or_Positive
26360,Negative
26362,Neutral_or_Positive
26374,Neutral_or_Positive
26375,Negative
26380,Neutral_or_Positive
26399,Neutral_or_Positive
26405,Negative
26412,Negative
26420,Neutral_or_Positive
26433,Neutral_or_Positive
26438,Neutral_or_Positive
26447,Neutral_or_Positive
26454,Neutral_or_Positive
26463,Neutral_or_Positive
26488,Negative
26490,Neutral_or_Positive
26492,Neutral_or_Positive
26493,Neutral_or_Positive
26495,Neutral_or_Positive
26500,Neutral_or_Positive
26550,Negative
26551,Neutral_or_Positive
26553,Negative
26568,Negative
26574,Neutral_or_Positive
26575,Neutral_or_Positive
26583,Negative
26591,Negative
26595,Neutral_or_Positive
26619,Negative
26643,Negative
26652,Neutral_or_Positive
26658,Negative
26661,Neutral_or_Positive
26663,Neutral_or_Positive
26671,Neutral_or_Positive
26681,Neutral_or_Positive
26686,Neutral_or_Positive
26699,Negative
26701,Neutral_or_Positive
26743,Neutral_or_Positive
26753,Negative
26769,Neutral_or_Positive
26799,Neutral_or_Positive
26809,Neutral_or_Positive
26812,Neutral_or_Positive
26820,Neutral_or_Positive
26829,Neutral_or_Positive
26832,Neutral_or_Positive
26835,Negative
26844,Negative
26847,Negative
26852,Neutral_or_Positive
26864,Negative
26879,Neutral_or_Positive
26890,Negative
26891,Negative
26911,Negative
26930,Negative
26962,Neutral_or_Positive
26981,Neutral_or_Positive
26983,Negative
26996,Negative
27011,Neutral_or_Positive
27017,Neutral_or_Positive
27022,Neutral_or_Positive
27023,Neutral_or_Positive
27029,Neutral_or_Positive
27042,Neutral_or_Positive
27046,Negative
27063,Negative
27113,Neutral_or_Positive
27117,Negative
27154,Negative
27166,Negative
27168,Neutral_or_Positive
27197,Negative
27230,Neutral_or_Positive
27252,Neutral_or_Positive
27265,Neutral_or_Positive
27281,Neutral_or_Positive
27295,Negative
27303,Negative
27306,Neutral_or_Positive
27312,Neutral_or_Positive
27330,Negative
27343,Negative
27352,Neutral_or_Positive
27355,Neutral_or_Positive
27371,Neutral_or_Positive
27387,Neutral_or_Positive
27399,Negative
27405,Neutral_or_Positive
27413,Neutral_or_Positive
27423,Neutral_or_Positive
27430,Neutral_or_Positive
27431,Neutral_or_Positive
27436,Negative
27462,Neutral_or_Positive
27466,Negative
27467,Neutral_or_Positive
27468,Neutral_or_Positive
27472,Negative
27476,Negative
27482,Neutral_or_Positive
27487,Negative
27495,Neutral_or_Positive
27521,Negative
27526,Neutral_or_Positive
27542,Negative
27546,Negative
27549,Negative
27575,Neutral_or_Positive
27581,Negative
27584,Neutral_or_Positive
27598,Neutral_or_Positive
27602,Neutral_or_Positive
27607,Negative
27620,Negative
27628,Negative
27642,Negative
27664,Neutral_or_Positive
27673,Negative
27680,Neutral_or_Positive
27684,Neutral_or_Positive
27689,Negative
27696,Neutral_or_Positive
27697,Negative
27698,Negative
27701,Neutral_or_Positive
27707,Neutral_or_Positive
27711,Neutral_or_Positive
27719,Negative
27720,Neutral_or_Positive
27721,Negative
27725,Negative
27728,Negative
27741,Neutral_or_Positive
27756,Neutral_or_Positive
27757,Neutral_or_Positive
27764,Neutral_or_Positive
27772,Negative
27781,Neutral_or_Positive
27792,Neutral_or_Positive
27797,Negative
27801,Neutral_or_Positive
27814,Neutral_or_Positive
27838,Neutral_or_Positive
27840,Neutral_or_Positive
27846,Negative
27847,Negative
27868,Neutral_or_Positive
27879,Neutral_or_Positive
27886,Neutral_or_Positive
27887,Negative
27896,Negative
27911,Neutral_or_Positive
27913,Negative
27928,Negative
27933,Negative
27945,Neutral_or_Positive
27958,Negative
27964,Neutral_or_Positive
27966,Neutral_or_Positive
27967,Negative
27970,Negative
27979,Negative
28012,Neutral_or_Positive
28017,Neutral_or_Positive
28033,Neutral_or_Positive
28045,Neutral_or_Positive
28052,Neutral_or_Positive
28065,Negative
28098,Negative
28102,Neutral_or_Positive
28104,Negative
28107,Neutral_or_Positive
28109,Neutral_or_Positive
28138,Negative
28142,Neutral_or_Positive
28165,Neutral_or_Positive
28171,Negative
28175,Negative
28176,Neutral_or_Positive
28177,Negative
28181,Negative
28188,Negative
28217,Negative
28218,Negative
28233,Neutral_or_Positive
28235,Negative
28243,Negative
28255,Negative
28266,Negative
28268,Negative
28271,Neutral_or_Positive
28330,Negative
28331,Negative
28332,Neutral_or_Positive
28335,Neutral_or_Positive
28336,Neutral_or_Positive
28338,Neutral_or_Positive
28341,Neutral_or_Positive
28342,Negative
28343,Negative
28345,Neutral_or_Positive
28350,Neutral_or_Positive
28353,Neutral_or_Positive
28356,Negative
28365,Negative
28367,Neutral_or_Positive
28377,Negative
28382,Neutral_or_Positive
28387,Negative
28391,Neutral_or_Positive
28402,Negative
28440,Neutral_or_Positive
28451,Neutral_or_Positive
28456,Negative
28460,Negative
28471,Negative
28512,Neutral_or_Positive
28545,Neutral_or_Positive
28562,Neutral_or_Positive
28567,Negative
28572,Negative
28578,Negative
28591,Neutral_or_Positive
28592,Negative
28595,Negative
28597,Neutral_or_Positive
28605,Neutral_or_Positive
28607,Negative
28612,Neutral_or_Positive
28614,Negative
28632,Neutral_or_Positive
28661,Negative
28665,Neutral_or_Positive
28675,Negative
28696,Neutral_or_Positive
28710,Negative
28716,Neutral_or_Positive
28724,Neutral_or_Positive
28730,Negative
28735,Neutral_or_Positive
28737,Negative
28757,Negative
28795,Neutral_or_Positive
28802,Negative
28806,Neutral_or_Positive
28813,Negative
28818,Neutral_or_Positive
28822,Neutral_or_Positive
28826,Neutral_or_Positive
28851,Neutral_or_Positive
28858,Neutral_or_Positive
28864,Neutral_or_Positive
28866,Neutral_or_Positive
28877,Neutral_or_Positive
28879,Negative
28885,Neutral_or_Positive
28891,Neutral_or_Positive
28898,Neutral_or_Positive
28909,Neutral_or_Positive
28910,Negative
28934,Neutral_or_Positive
28943,Neutral_or_Positive
28962,Negative
28964,Neutral_or_Positive
28991,Neutral_or_Positive
28997,Negative
29015,Neutral_or_Positive
29019,Negative
29030,Negative
29036,Neutral_or_Positive
29052,Neutral_or_Positive
29057,Neutral_or_Positive
29059,Neutral_or_Positive
29061,Neutral_or_Positive
29067,Negative
29086,Neutral_or_Positive
29120,Neutral_or_Positive
29131,Neutral_or_Positive
29137,Neutral_or_Positive
29152,Negative
29161,Negative
29169,Neutral_or_Positive
29179,Negative
29190,Negative
29191,Negative
29192,Neutral_or_Positive
29194,Neutral_or_Positive
29195,Neutral_or_Positive
29211,Neutral_or_Positive
29212,Neutral_or_Positive
29216,Negative
29217,Neutral_or_Positive
29220,Neutral_or_Positive
29222,Negative
29255,Negative
29283,Negative
29284,Neutral_or_Positive
29313,Negative
29337,Neutral_or_Positive
29348,Neutral_or_Positive
29360,Neutral_or_Positive
29362,Neutral_or_Positive
29363,Negative
29377,Negative
29397,Neutral_or_Positive
29402,Neutral_or_Positive
29406,Negative
29412,Neutral_or_Positive
29417,Negative
29421,Negative
29435,Neutral_or_Positive
29437,Negative
29449,Negative
29457,Negative
29460,Negative
29461,Negative
29474,Neutral_or_Positive
29482,Negative
29484,Negative
29493,Negative
29503,Neutral_or_Positive
29522,Negative
29532,Negative
29533,Neutral_or_Positive
29538,Neutral_or_Positive
29563,Negative
29564,Negative
29567,Neutral_or_Positive
29585,Negative
29590,Negative
29596,Negative
29607,Negative
29629,Negative
29654,Negative
29661,Neutral_or_Positive
29669,Negative
29692,Negative
29719,Neutral_or_Positive
29726,Neutral_or_Positive
29742,Neutral_or_Positive
29748,Negative
29762,Neutral_or_Positive
29768,Negative
29788,Negative
29797,Neutral_or_Positive
29844,Neutral_or_Positive
29858,Neutral_or_Positive
29891,Neutral_or_Positive
29904,Negative
29959,Negative
29972,Neutral_or_Positive
29980,Negative
29990,Negative
30019,Neutral_or_Positive
30046,Neutral_or_Positive
30047,Negative
30052,Negative
30066,Negative
30108,Negative
30119,Neutral_or_Positive
30122,Neutral_or_Positive
30133,Neutral_or_Positive
30143,Negative
30159,Neutral_or_Positive
30166,Negative
30174,Negative
30195,Negative
30196,Negative
30218,Neutral_or_Positive
30224,Negative
30238,Neutral_or_Positive
30244,Negative
30247,Neutral_or_Positive
30255,Neutral_or_Positive
30257,Negative
30263,Neutral_or_Positive
30266,Negative
30277,Neutral_or_Positive
30279,Negative
30280,Neutral_or_Positive
30287,Neutral_or_Positive
30295,Neutral_or_Positive
30331,Neutral_or_Positive
30339,Negative
30347,Neutral_or_Positive
30408,Neutral_or_Positive
30428,Negative
30448,Negative
30449,Neutral_or_Positive
30461,Neutral_or_Positive
30471,Neutral_or_Positive
30472,Neutral_or_Positive
30473,Neutral_or_Positive
30474,Neutral_or_Positive
30475,Neutral_or_Positive
30479,Negative
30483,Neutral_or_Positive
30486,Negative
30493,Negative
30516,Negative
30527,Neutral_or_Positive
30545,Negative
30560,Negative
30563,Negative
30582,Neutral_or_Positive
30586,Negative
30589,Negative
30594,Negative
30598,Neutral_or_Positive
30607,Neutral_or_Positive
30613,Neutral_or_Positive
30621,Neutral_or_Positive
30623,Neutral_or_Positive
30633,Neutral_or_Positive
30635,Negative
30661,Neutral_or_Positive
30674,Neutral_or_Positive
30686,Neutral_or_Positive
30687,Neutral_or_Positive
30704,Neutral_or_Positive
30708,Negative
30710,Negative
30715,Neutral_or_Positive
30728,Negative
30738,Neutral_or_Positive
30740,Neutral_or_Positive
30753,Neutral_or_Positive
30784,Neutral_or_Positive
30796,Neutral_or_Positive
30805,Negative
30813,Neutral_or_Positive
30816,Negative
30825,Neutral_or_Positive
30828,Neutral_or_Positive
30831,Neutral_or_Positive
30832,Negative
30838,Negative
30843,Negative
30850,Neutral_or_Positive
30862,Neutral_or_Positive
30893,Neutral_or_Positive
30911,Neutral_or_Positive
30916,Negative
30917,Neutral_or_Positive
30922,Negative
30933,Negative
30941,Negative
30944,Negative
30946,Negative
30947,Negative
30949,Neutral_or_Positive
30957,Neutral_or_Positive
30965,Negative
30983,Neutral_or_Positive
30997,Neutral_or_Positive
31000,Negative
31001,Neutral_or_Positive
31003,Negative
31013,Negative
31021,Neutral_or_Positive
31024,Neutral_or_Positive
31051,Neutral_or_Positive
31059,Negative
31064,Negative
31066,Neutral_or_Positive
31067,Neutral_or_Positive
31075,Neutral_or_Positive
31090,Neutral_or_Positive
31093,Neutral_or_Positive
31106,Negative
31110,Neutral_or_Positive
31117,Neutral_or_Positive
31119,Neutral_or_Positive
31133,Negative
31141,Neutral_or_Positive
31190,Neutral_or_Positive
31191,Negative
31193,Neutral_or_Positive
31194,Negative
31203,Neutral_or_Positive
31213,Neutral_or_Positive
31234,Negative
31239,Neutral_or_Positive
31240,Neutral_or_Positive
31248,Neutral_or_Positive
31249,Neutral_or_Positive
31273,Neutral_or_Positive
31276,Negative
31278,Neutral_or_Positive
31295,Neutral_or_Positive
31317,Neutral_or_Positive
31322,Neutral_or_Positive
31355,Neutral_or_Positive
31390,Negative
31391,Neutral_or_Positive
31392,Negative
31412,Negative
31423,Negative
31425,Neutral_or_Positive
31426,Neutral_or_Positive
31428,Neutral_or_Positive
31431,Negative
31433,Neutral_or_Positive
31438,Neutral_or_Positive
31442,Negative
31444,Neutral_or_Positive
31457,Negative
31459,Neutral_or_Positive
31463,Neutral_or_Positive
31467,Negative
31474,Neutral_or_Positive
31481,Neutral_or_Positive
31488,Negative
31555,Neutral_or_Positive
31556,Neutral_or_Positive
31578,Negative
31599,Neutral_or_Positive
31604,Negative
31605,Negative
31612,Negative
31614,Neutral_or_Positive
31626,Neutral_or_Positive
31630,Negative
31642,Neutral_or_Positive
31643,Neutral_or_Positive
31667,Negative
31672,Neutral_or_Positive
31697,Neutral_or_Positive
31704,Negative
31707,Neutral_or_Positive
31712,Neutral_or_Positive
31714,Negative
31719,Neutral_or_Positive
31747,Neutral_or_Positive
31749,Negative
31750,Neutral_or_Positive
31782,Neutral_or_Positive
31787,Neutral_or_Positive
31804,Neutral_or_Positive
31819,Negative
31831,Neutral_or_Positive
31844,Neutral_or_Positive
31846,Negative
31852,Neutral_or_Positive
31882,Neutral_or_Positive
31899,Negative
31900,Negative
31908,Negative
31929,Negative
31932,Negative
31955,Neutral_or_Positive
31959,Negative
31975,Neutral_or_Positive
31977,Neutral_or_Positive
31982,Neutral_or_Positive
31985,Neutral_or_Positive
31994,Negative
31998,Neutral_or_Positive
32049,Negative
32051,Neutral_or_Positive
32065,Negative
32066,Neutral_or_Positive
32081,Negative
32088,Neutral_or_Positive
32111,Neutral_or_Positive
32116,Neutral_or_Positive
32133,Neutral_or_Positive
32156,Negative
32160,Neutral_or_Positive
32161,Negative
32162,Negative
32176,Negative
32186,Negative
32230,Negative
32233,Neutral_or_Positive
32276,Neutral_or_Positive
32277,Negative
32307,Neutral_or_Positive
32316,Neutral_or_Positive
32321,Neutral_or_Positive
32324,Negative
32334,Negative
32344,Negative
32368,Neutral_or_Positive
32384,Neutral_or_Positive
32390,Neutral_or_Positive
32405,Neutral_or_Positive
32409,Negative
32423,Neutral_or_Positive
32431,Negative
32434,Neutral_or_Positive
32468,Neutral_or_Positive
32475,Negative
32478,Neutral_or_Positive
32489,Neutral_or_Positive
32492,Neutral_or_Positive
32496,Negative
32505,Neutral_or_Positive
32510,Negative
32513,Negative
32523,Neutral_or_Positive
32532,Negative
32540,Neutral_or_Positive
32556,Negative
32564,Negative
32571,Negative
32590,Negative
32593,Negative
32602,Neutral_or_Positive
32618,Neutral_or_Positive
32643,Negative
32644,Neutral_or_Positive
32646,Neutral_or_Positive
32660,Negative
32679,Negative
32682,Negative
32705,Neutral_or_Positive
32706,Negative
32715,Neutral_or_Positive
32723,Negative
32750,Negative
32763,Negative
32764,Negative
32766,Neutral_or_Positive
32770,Negative
32805,Neutral_or_Positive
32809,Negative
32810,Negative
32822,Neutral_or_Positive
32835,Neutral_or_Positive
32840,Neutral_or_Positive
32841,Negative
32870,Neutral_or_Positive
32912,Neutral_or_Positive
32918,Negative
32924,Negative
32940,Negative
32942,Neutral_or_Positive
32968,Neutral_or_Positive
32974,Neutral_or_Positive
32980,Negative
32987,Negative
32991,Negative
32997,Neutral_or_Positive
33009,Neutral_or_Positive
33019,Negative
33020,Neutral_or_Positive
33025,Neutral_or_Positive
33028,Neutral_or_Positive
33039,Neutral_or_Positive
33043,Negative
33045,Neutral_or_Positive
33053,Neutral_or_Positive
33074,Neutral_or_Positive
33088,Neutral_or_Positive
33091,Neutral_or_Positive
33102,Neutral_or_Positive
33124,Neutral_or_Positive
33129,Negative
33142,Negative
33163,Negative
33172,Negative
33178,Neutral_or_Positive
33195,Negative
33197,Negative
33199,Neutral_or_Positive
33215,Neutral_or_Positive
33217,Negative
33236,Neutral_or_Positive
33253,Negative
33254,Neutral_or_Positive
33259,Neutral_or_Positive
33301,Negative
33315,Neutral_or_Positive
33317,Negative
33327,Negative
33329,Negative
33334,Neutral_or_Positive
33347,Neutral_or_Positive
33363,Negative
33374,Neutral_or_Positive
33400,Neutral_or_Positive
33402,Negative
33411,Negative
33424,Neutral_or_Positive
33428,Neutral_or_Positive
33432,Negative
33437,Neutral_or_Positive
33455,Neutral_or_Positive
33460,Neutral_or_Positive
33468,Negative
33474,Neutral_or_Positive
33477,Negative
33479,Neutral_or_Positive
33487,Neutral_or_Positive
33503,Negative
33559,Negative
33569,Neutral_or_Positive
33572,Neutral_or_Positive
33576,Neutral_or_Positive
33587,Neutral_or_Positive
33611,Neutral_or_Positive
33618,Neutral_or_Positive
33622,Neutral_or_Positive
33627,Neutral_or_Positive
33635,Neutral_or_Positive
33639,Negative
33645,Negative
33672,Neutral_or_Positive
33694,Neutral_or_Positive
33697,Neutral_or_Positive
33725,Neutral_or_Positive
33728,Neutral_or_Positive
33749,Neutral_or_Positive
33794,Neutral_or_Positive
33795,Neutral_or_Positive
33798,Neutral_or_Positive
